time_iso8601,forks_cumulative
2020-01-21 00:00:00+00:00,1
2020-02-27 00:00:00+00:00,2
2020-04-08 00:00:00+00:00,3
2020-05-18 00:00:00+00:00,4
2020-08-04 00:00:00+00:00,5
2021-02-01 00:00:00+00:00,6
2021-02-06 00:00:00+00:00,7
2021-02-17 00:00:00+00:00,8
2021-03-24 00:00:00+00:00,9
2021-04-05 00:00:00+00:00,10
2021-06-14 00:00:00+00:00,11
2021-09-21 00:00:00+00:00,12
2021-09-28 00:00:00+00:00,13
2022-03-16 00:00:00+00:00,14
2022-06-26 00:00:00+00:00,15
2022-06-27 00:00:00+00:00,16
2022-07-01 00:00:00+00:00,17
2022-07-12 00:00:00+00:00,18
2023-02-25 00:00:00+00:00,20
2023-03-31 00:00:00+00:00,21
2023-08-09 00:00:00+00:00,22
2024-01-25 00:00:00+00:00,23
2024-02-24 00:00:00+00:00,24
2024-05-20 00:00:00+00:00,25
2024-07-03 00:00:00+00:00,26
2024-08-30 00:00:00+00:00,27
2024-11-26 00:00:00+00:00,28
