time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-26 00:00:00+00:00,8,2,4,2
2025-07-27 00:00:00+00:00,9,3,11,6
2025-07-28 00:00:00+00:00,8,2,39,11
2025-07-29 00:00:00+00:00,36,9,54,21
2025-07-30 00:00:00+00:00,20,11,36,7
2025-07-31 00:00:00+00:00,22,11,13,8
2025-08-01 00:00:00+00:00,12,6,20,10
2025-08-02 00:00:00+00:00,8,2,4,3
2025-08-03 00:00:00+00:00,10,4,11,6
2025-08-04 00:00:00+00:00,14,8,19,13
2025-08-05 00:00:00+00:00,19,10,111,27
2025-08-06 00:00:00+00:00,15,5,29,17
2025-08-07 00:00:00+00:00,20,11,27,13
2025-08-08 00:00:00+00:00,3,3,22,11
